Company Name,Model Name,Model Year,Kilometers,Engine Type,Engine Capacity,Assembly,Body Type,Transmission Type,Registration Status,Price,Mapped_colors
28,53,2016,193121,2,1300,1,4,0,0,2330000,0
10,48,2017,136794,2,1300,1,4,1,0,2050000,2
10,114,2013,85295,2,660,0,1,0,0,1500000,3
28,53,2011,189902,2,1600,1,4,0,0,1695000,0
27,58,2017,72420,2,1000,1,1,1,0,1650000,3
27,183,2018,50694,2,1000,1,1,1,0,1475000,2
28,181,2017,102817,2,1000,0,1,0,1,2500000,0
10,49,2014,114263,2,1800,1,4,0,0,2475000,0
28,39,2018,18422,2,2500,1,4,0,0,12000000,2
28,53,2016,107826,2,1300,1,4,0,0,2285000,2
27,14,2007,109435,2,1000,1,1,1,0,675000,2
28,53,2012,257495,2,1300,1,4,1,0,1575000,3
28,53,2016,91732,2,1500,0,4,0,1,3550000,0
27,183,2014,148059,2,1000,1,1,1,0,1100000,2
10,48,2005,198683,2,1300,1,4,1,0,940000,2
28,53,2016,163670,2,1300,1,4,1,0,2030000,0
10,48,2018,13357,2,1500,1,4,1,0,2700000,2
27,58,2008,160129,2,1000,1,1,1,0,710000,2
28,135,2012,149668,2,1800,0,4,0,0,2400000,2
27,168,2016,82881,2,1300,1,1,0,0,1665000,0
28,99,2015,86904,2,4600,0,3,0,1,31000000,2
28,15,2016,78857,2,1500,0,1,0,0,3000000,2
28,53,2002,160934,0,2000,1,4,1,0,800000,0
21,64,2012,113510,2,660,0,1,0,0,1195000,3
28,53,2014,168981,2,1300,1,4,1,0,1900000,2
10,49,2017,33796,2,1500,1,4,0,0,3400000,2
28,132,1997,160934,0,3000,0,3,0,0,2800000,2
27,58,2015,56327,2,1000,1,1,1,0,1250000,0
6,142,2005,163755,2,1500,0,4,1,0,485000,3
28,181,2017,69655,2,1000,0,1,0,1,2550000,2
28,123,2016,50002,2,1000,0,1,0,1,2250000,1
10,48,2017,60643,2,1500,1,4,1,0,2170000,3
28,15,2015,97883,2,1500,0,1,0,0,2650000,0
28,181,2016,158324,2,1000,0,1,0,1,2200000,2
28,15,2015,105978,2,1500,0,1,0,0,2450000,3
7,113,2011,180883,2,660,0,1,0,0,1165000,2
28,181,2017,99747,2,1000,0,1,0,1,2500000,2
28,181,2008,241401,2,1000,0,1,0,0,1385000,2
10,49,2019,20921,2,1800,1,4,0,0,4025000,2
7,170,2011,160532,2,660,0,1,0,0,950000,3
10,179,2014,97848,2,1500,0,0,0,1,4255000,0
27,108,2019,65983,2,800,1,1,1,0,1050000,2
7,65,2010,123919,2,660,0,1,0,0,995000,2
10,49,2006,299337,2,1800,1,4,0,0,1170000,1
28,53,2014,168981,2,1600,1,4,0,0,2300000,3
10,49,2001,288072,2,1600,1,4,1,0,930000,2
10,49,2015,158520,2,1800,1,4,1,0,2400000,2
10,49,2017,51499,2,1800,1,4,0,0,3450000,2
28,20,2015,53913,2,1000,0,1,1,0,1590000,3
10,49,2010,233354,2,1800,1,4,0,0,1630000,2
27,58,2006,179881,2,1000,1,1,1,0,555000,0
27,58,2016,78426,2,1000,1,1,1,0,1320000,2
27,29,2018,16093,2,800,1,5,1,0,1000000,3
12,151,2004,302556,2,1000,1,1,1,0,560000,0
10,49,2018,37014,2,1800,1,4,0,0,3550000,3
27,183,2015,189902,2,1000,1,1,1,0,1320000,2
10,48,2017,128747,2,1300,1,4,1,0,2025000,2
27,58,2007,229389,2,1000,1,1,1,0,500000,2
28,128,2003,136794,2,1000,0,4,0,0,800000,2
28,135,2010,160934,2,1800,0,4,0,0,2290000,2
28,181,2017,57936,2,1000,0,1,0,1,2410000,2
28,181,2017,69362,2,1000,0,1,0,1,2400000,2
10,179,2014,80811,1,1500,0,0,0,0,3300000,2
28,53,2018,49889,2,1300,1,4,0,0,2650000,0
10,179,2015,88513,1,1500,0,0,0,1,4340000,0
27,23,1998,402336,2,1300,0,4,1,0,325000,1
28,181,2016,126470,2,1000,0,1,0,1,2265000,0
